symbol,company,callname
PICL,Pakistan Industrial & Commercial Leasing,Pakistan Industrial & Commercial Leasing
PICT,Pakistan International Container,Pakistan International Container
PIL,PICIC Insurance Limited,PICIC Insurance
PIM,Popular Islamic Modaraba,Popular Islamic Modaraba
PINL,Premier Insurance Limited,Premier Insurance
PIOC,Pioneer Cement Limited,Pioneer Cement
PKGI,The Pakistan General Insurance Co. Ltd.,The Pakistan General Insurance Co.
PKGP,Pakgen Power Limited,Pakgen Power
PKGS,Packages Limited,Packages Limited
PMRS,The Premier Sugar Mills,The Premier Sugar Mills
PNSC,Pakistan National Shipping Corporation,Pakistan National Shipping Corporation
POL,Pakistan Oilfields Limited,Pakistan Oilfields
POML,Punjab Oil Mills Limited,Punjab Oil Mills
POWER,Power Cement Limited,Power Cement
POWERPS,Power Cement (Pref),Power Cement
PPL,Pakistan Petroleum Limited,Pakistan Petroleum
PPP,Pakistan Paper Products Limited,Pakistan Paper Products
PPVC,Pakistan PVC Limited,Pakistan PVC
PQGTL,Pak Qatar General Takaful Limited,Pak Qatar General Takaful
PREMA,At-Tahur Limited,At-Tahur Limited
PRET,Premium Textile Mills Limited,Premium Textile Mills
PRIB,Prudential Investment Bank Limited,Prudential Investment Bank
PRIC,Progressive Insurance Company Limited,Progressive Insurance Company
PRL,Pakistan Refinery Limited,Pakistan Refinery
PRWM,Prosperity Weaving Mills Limited,Prosperity Weaving Mills
PSEL,Pakistan Services Limited,Pakistan Services
PSO,Pakistan State Oil Company Limited,Pakistan State Oil Company
PSX,Pakistan Stock Exchange Limited,Pakistan Stock Exchange
PSYL,Pakistan Synthetics Limited,Pakistan Synthetics
PTC,Pakistan Telecommunication Company Ltd,Pakistan Telecommunication Company
PTL,Panther Tyres Ltd.,Panther Tyres
QTECH,Quantum Data Technologies Limited,Quantum Data Technologies
QUET,Quetta Textile Mills Limited,Quetta Textile Mills
QUICE,Quice Food Industries Limited,Quice Food Industries
REDCO,Redco Textiles Limited,Redco Textiles
REGAL,Regal Ceramics Limited,Regal Ceramics
REWM,Reliance Weaving Mills Limited,Reliance Weaving Mills
RICL,Reliance Insurance Company Limited,Reliance Insurance Company
RMPL,Rafhan Maize Products Company Limited,Rafhan Maize Products Company
RPL,Roshan Packages Limited,Roshan Packages
RUBY,Ruby Textile Mills Limited,Ruby Textile Mills
RUPL,Rupali Polyester Limited,Rupali Polyester
SAIF,Saif Textile Mills Limited,Saif Textile Mills
SANE,Salman Noman Enterprises Limited,Salman Noman Enterprises
SANSM,Sanghar Sugar Mills Limited,Sanghar Sugar Mills
SAPT,Sapphire Textile Mills Limited,Sapphire Textile Mills
SARC,Sardar Chemical Industries Limited,Sardar Chemical Industries
SASML,Sindh Abadgars Sugar Mills Limited,Sindh Abadgars Sugar Mills
SAZEW,Sazgar Engineering Works Limited,Sazgar Engineering Works
SBL,Samba Bank Limited,Samba Bank
SCBPL,Standard Chartered Bank (Pak) Ltd,Standard Chartered Bank
SDOT,Sadoon Textile Industries Limited,Sadoon Textile Industries
SEARL,The Searle Company Limited,The Searle Company
SEL,Sitara Energy Limited,Sitara Energy
SELECT,Select Technologies Limited,Select Technologies
SEPL,Security Papers Limited,Security Papers
SERT,Service Industries Textiles Limited,Service Industries Textiles
SFAT,Safa Textiles Limited,Safa Textiles
SFL,Sapphire Fibres Limited,Sapphire Fibres
SGABL,SG.Allied Businesses Limited,SG.Allied Businesses
SGF,Service GlobalFootwear Limited,Service GlobalFootwear
SGPL,S.G. Power Limited,S.G. Power
SGPLR,S.G.Power Limited(RIGHT),S.G.Power Limited
SHCI,Shaffi Chemical Industries Limited,Shaffi Chemical Industries
SHCM,Shadman Cotton Mills Limited,Shadman Cotton Mills
SHDT,Shadab Textile Mills Limited,Shadab Textile Mills
SHEZ,Shezan International Limited,Shezan International
SHFA,Shifa International Hospitals Limited,Shifa International Hospitals
SHJS,Shahtaj Sugar Mills Limited,Shahtaj Sugar Mills
SHNI,Shaheen Insurance Company Limited,Shaheen Insurance Company
SHSML,Shahmurad Sugar Mills Limited,Shahmurad Sugar Mills
SIBL,Security Investment Bank Limited,Security Investment Bank
SIEM,Siemens (Pakistan) Engineering,Siemens Engineering
SINDM,Sindh Modaraba,Sindh Modaraba
SITC,Sitara Chemical Industries Limited,Sitara Chemical Industries
SKRS,Sakrand Sugar Mills Limited,Sakrand Sugar Mills
SLCL,Security Leasing Corporation Limited,Security Leasing Corporation
